name,userId,winner,loser,game_id,avg money,first%,second%,last%,avg place
dave monkey,7,Michigan St.,Bradley,7,$0.0,0.0%,0.0%,0.0%,8.15
purdue pete,8,Michigan St.,Bradley,7,$0.0,0.0%,0.0%,0.0%,12.62
stef,9,Michigan St.,Bradley,7,$0.0,0.0%,0.0%,0.0%,11.02
peninsular danny,10,Michigan St.,Bradley,7,$0.0,0.0%,0.0%,0.0%,13.82
gully,11,Michigan St.,Bradley,7,$0.0,0.0%,0.0%,0.0%,5.55
jake,13,Michigan St.,Bradley,7,$0.0,0.0%,0.0%,0.0%,10.04

name,userId,winner,loser,game_id,avg money,first%,second%,last%,avg place
RF,12,Gonzaga,F. Dickinson,8,$248.0,100.0%,0.0%,0.0%,1.0
terry,14,Gonzaga,F. Dickinson,8,$58.0,0.0%,93.55%,0.0%,2.09
bob,0,Gonzaga,F. Dickinson,8,$10.0,0.0%,0.0%,100.0%,16.0
gully,11,Gonzaga,F. Dickinson,8,$4.73,0.0%,7.64%,0.0%,3.05
chad,5,Gonzaga,F. Dickinson,8,$1.8,0.0%,2.91%,0.0%,5.42
dave b.,1,Gonzaga,F. Dickinson,8,$0.0,0.0%,0.0%,0.0%,7.88
drew,2,Gonzaga,F. Dickinson,8,$0.0,0.0%,0.0%,0.0%,12.67
liz,3,Gonzaga,F. Dickinson,8,$0.0,0.0%,0.0%,0.0%,6.63
barb,4,Gonzaga,F. Dickinson,8,$0.0,0.0%,0.0%,0.0%,15.0
liquorman,6,Gonzaga,F. Dickinson,8,$0.0,0.0%,0.0%,0.0%,4.71
dave monkey,7,Gonzaga,F. Dickinson,8,$0.0,0.0%,0.0%,0.0%,9.24
purdue pete,8,Gonzaga,F. Dickinson,8,$0.0,0.0%,0.0%,0.0%,14.0
stef,9,Gonzaga,F. Dickinson,8,$0.0,0.0%,0.0%,0.0%,8.34
peninsular danny,10,Gonzaga,F. Dickinson,8,$0.0,0.0%,0.0%,0.0%,12.31
jake,13,Gonzaga,F. Dickinson,8,$0.0,0.0%,0.0%,0.0%,10.47
tyler,15,Gonzaga,F. Dickinson,8,$0.0,0.0%,0.0%,0.0%,6.54

name,userId,winner,loser,game_id,avg money,first%,second%,last%,avg place
RF,12,Baylor,Syracuse,9,$248.0,100.0%,0.0%,0.0%,1.0
chad,5,Baylor,Syracuse,9,$62.0,0.0%,100.0%,0.0%,2.0
bob,0,Baylor,Syracuse,9,$10.0,0.0%,0.0%,100.0%,16.0
dave b.,1,Baylor,Syracuse,9,$0.0,0.0%,0.0%,0.0%,8.0
drew,2,Baylor,Syracuse,9,$0.0,0.0%,0.0%,0.0%,12.75
liz,3,Baylor,Syracuse,9,$0.0,0.0%,0.0%,0.0%,4.89
barb,4,Baylor,Syracuse,9,$0.0,0.0%,0.0%,0.0%,15.0
liquorman,6,Baylor,Syracuse,9,$0.0,0.0%,0.0%,0.0%,5.91
dave monkey,7,Baylor,Syracuse,9,$0.0,0.0%,0.0%,0.0%,6.7
purdue pete,8,Baylor,Syracuse,9,$0.0,0.0%,0.0%,0.0%,14.0
stef,9,Baylor,Syracuse,9,$0.0,0.0%,0.0%,0.0%,10.21
peninsular danny,10,Baylor,Syracuse,9,$0.0,0.0%,0.0%,0.0%,12.25
gully,11,Baylor,Syracuse,9,$0.0,0.0%,0.0%,0.0%,3.33
jake,13,Baylor,Syracuse,9,$0.0,0.0%,0.0%,0.0%,9.48
terry,14,Baylor,Syracuse,9,$0.0,0.0%,0.0%,0.0%,3.84
tyler,15,Baylor,Syracuse,9,$0.0,0.0%,0.0%,0.0%,10.31

name,userId,winner,loser,game_id,avg money,first%,second%,last%,avg place
RF,12,Murray St.,Marquette,10,$192.82,74.0%,15.0%,0.0%,1.46
gully,11,Murray St.,Marquette,10,$92.38,25.0%,49.0%,0.0%,2.16
chad,5,Murray St.,Marquette,10,$24.8,5.0%,20.0%,0.0%,2.84
terry,14,Murray St.,Marquette,10,$18.6,5.0%,10.0%,0.0%,4.06
bob,0,Murray St.,Marquette,10,$10.0,0.0%,0.0%,100.0%,16.0
dave b.,1,Murray St.,Marquette,10,$0.0,0.0%,0.0%,0.0%,8.0
drew,2,Murray St.,Marquette,10,$0.0,0.0%,0.0%,0.0%,11.63
liz,3,Murray St.,Marquette,10,$0.0,0.0%,0.0%,0.0%,5.32
barb,4,Murray St.,Marquette,10,$0.0,0.0%,0.0%,0.0%,15.0
liquorman,6,Murray St.,Marquette,10,$0.0,0.0%,0.0%,0.0%,4.88
dave monkey,7,Murray St.,Marquette,10,$0.0,0.0%,0.0%,0.0%,6.91
purdue pete,8,Murray St.,Marquette,10,$0.0,0.0%,0.0%,0.0%,13.2
stef,9,Murray St.,Marquette,10,$0.0,0.0%,0.0%,0.0%,13.8
peninsular danny,10,Murray St.,Marquette,10,$0.0,0.0%,0.0%,0.0%,11.37
jake,13,Murray St.,Marquette,10,$0.0,0.0%,0.0%,0.0%,9.17
tyler,15,Murray St.,Marquette,10,$0.0,0.0%,0.0%,0.0%,9.72

name,userId,winner,loser,game_id,avg money,first%,second%,last%,avg place
chad,5,Florida St.,Vermont,11,$248.0,100.0%,0.0%,0.0%,1.0
gully,11,Florida St.,Vermont,11,$47.46,0.0%,76.55%,0.0%,2.23
RF,12,Florida St.,Vermont,11,$17.08,0.0%,27.55%,0.0%,3.37
bob,0,Florida St.,Vermont,11,$10.0,0.0%,0.0%,100.0%,16.0
